station_name,long,lat
Chinubhainagar,72.696555,23.026311
Sarkhej-Bavla Circle (Ujala Hotel),72.492048,22.978935
Nigam Society,72.619805,22.97113
Ranip Gam,72.577471,23.080836
Ghuma Gam,72.450251,23.03055
Someshwar Mahadev,72.660123,23.111598
Shilaj Gam,72.471761,23.053831
Kali Gam,72.57568,23.090853
Meghaninagar,72.617915,23.059143
Godrejcity Phase-1,72.554693,23.113885
Maninagar,72.611516,22.997571
Vaishnodevi Circle(Zydus Life),72.541978,23.133026
Chandkheda (Sarthi Bunglows),72.580726,23.122918
Sarkhej Gam,72.501097,22.981012
Arvind Polycoat (Khatraj),72.447335,23.147508
Hatkeshwar Depo,72.626221,22.997731
Sitarambapa Chowk (Gopal Chowk),72.657404,23.048637
Madhavnagar (Sanand),72.35629,23.000601
Sarangpur,72.598729,23.022186
Gujarat High Court,72.526306,23.07956
Tragad Gam,72.558458,23.127056
Prabhahanuman Mandir(Trimandir),72.566679,23.181006
Kalapinagar,72.617841,23.051858
Sardarnagar,72.623133,23.08122
Ujala Circle(Sarkhej RailwayOverbridge),72.493936,22.980465
Sardarbag,72.578645,23.027351
Krushnanagar,72.642553,23.05704
Lal Darwaja,72.578186,23.025053
Vatva Railway Colony,72.631313,22.953549
Lambha Gam,72.575723,22.934162
Kubadthal Gam,72.760088,23.033231
Vasna,72.547439,23.002146
Bapunagar,72.633975,23.034078
Income Tax Office,72.569121,23.039453
Rancharda Gam,72.437755,23.069934
Ranasan Circle,72.673083,23.111422
But Bhavani Mandir,72.516333,23.006291
Gujarat University,72.548851,23.034453
Vadaj,72.571935,23.055433
Bhadrakali Mandir,72.582874,23.024113
Kalupur Terminus,72.599252,23.030033
Dhamatwan Gam,72.722195,22.956083
Sattadhar Society,72.53225,23.066173
Naroda,72.655876,23.077186
Iskon Mandir,72.508475,23.02708
Dev Residency,72.572289,23.120127
Sahyadri Bunglows,72.608245,22.978875
Nikol Kathwada Ring Road,72.677598,23.038726
Moti Bhoyan Chokdi,72.450961,23.174901
Adani Vidyavihar,72.498291,22.99172
Silver Oak University,72.535068,23.088585
Prakash Vidhyalay (Isanpur),72.590279,22.980336
Nandej-Barejadi Gam,72.683911,22.895276
Ahvadiya Talav(New Ranip),72.564933,23.0881
Paldi,72.564703,23.013808
Acher Depot,72.590408,23.09059
Usmanpura,72.570203,23.045203
Vakil Bridge,72.476369,23.026937
Bhakti Circle,72.681666,23.052048
Vivekanandnagar,72.66124,22.929085
Karnavati Chowk-4 (New Narol),72.59985,22.949384
G.E.B (Naroda),72.671914,23.080899
Kush Society (New Naroda),72.665351,23.075668
Bakrol Gam,72.509937,22.925256
Dani Limda Gam,72.583908,22.997178
S.P.Ring Road (Odhav Gidc),72.67429,23.030995
Nirant Chokdi,72.6578,22.999736
Naroda Industrial Township(MuthiyaGam),72.675936,23.094222
Indiranagar Vibhag-2 (Pani ni Tanki),72.560473,22.931513
Sanathal Cross Road,72.475978,22.96203
Indrapuri Township (Trikampura),72.632146,22.982164
Vinobabhavenagar,72.64885,22.93628
Godhavi Gam,72.409551,23.025361
Arbudanagar,72.6448,23.009321
Vastral Gam,72.67104,22.9955
Civil Hospital,72.602518,23.049418
Bhadaj Circle (S.P.Ring Road),72.492595,23.084894
Lapakaman Gam,72.49947,23.129116
Madhav Homes,72.65506,22.991995
Sabarmati 'D' Cabin,72.57006,23.102583
Shela Gam,72.442702,23.009342
Bakrol-Bujrang Gam,72.739661,22.98261
Nava Vadaj,72.561808,23.068126
Sherisa Gam,72.469655,23.196456
Manmohan Park,72.661983,23.032553
Badrinarayan Society,72.651466,23.044106
Thaltej Gam,72.508022,23.050366
Parshwanath Township,72.652203,23.055969
Chandkheda Gam,72.582871,23.116276
Rajoda Patiya,72.38298,22.858656
Narol Circle,72.588505,22.971628
Jaspur Gam,72.517126,23.167671
Odhav Panjarapol,72.668351,23.009869
Parijat Bunglows,72.51435,23.037563
Gayatri Vidyalay,72.570425,23.079621
Bopal Gam,72.461789,23.036592
Zundal Circle,72.585404,23.130353
Santej Gam,72.469051,23.109393
Nenpur Chokdi,72.752263,22.857024
Kubernagar Bangla,72.63612,23.071183
Bareja Eye Hospital,72.598276,22.849501
Chenpur Gam,72.559313,23.100011
Wanch Gam,72.69127,22.941736
Mahalakshmi Talav (Vatva),72.617331,22.952046
Santej (Shah Alloys),72.46909,23.109358
Prahladnagar Cross Road,72.5041,23.011756
Jodhpur Gam,72.520846,23.016856
Sardar Party Plot (S.P.Ring Road),72.688861,23.069817
Ramol Gam,72.655738,22.980555
Mangalmurti Apartment,72.548161,23.060538
Chosar Gam,72.63509,22.90282
Amba Township Sector-5 (Trimandir),72.578453,23.187805
Sola Bhagwat Vidyapith,72.520573,23.087061
Pasunj Gam,72.799228,23.036143
Gandhibag (Acher),72.591725,23.089013
Thol Gam (Saradar Chowk),72.377312,23.133087
Tapi Apartment,72.676674,23.06537
Engg./B.Ed.College (Vahelal),72.756915,23.084071
Kasindra Gam,72.489811,22.89361
Vatva Gam,72.612875,22.953706
Vatva Railway Station,72.629112,22.958856
Aslali Circle,72.596078,22.92939
Ranchodpura Cross Road,72.4382,23.096152
Vagheshwari Soc(Chandlodia Rly Station),72.54792,23.076736
Isanpur,72.600135,22.978313
Vaishali Township,72.538232,22.992617
Abu-Koba Cross Road,72.591128,23.086738
Gatrad Gam,72.702098,22.978493
Vatva Railway Crossing,72.631265,22.953915
Rajivnagar (Chandkheda),72.595699,23.120139
Paldi-Kankaj Gam,72.52074,22.89861
Vehlal Gam,72.761006,23.07819
Amraiwadi,72.624274,23.006786
Krishna Shelbi Hospital (Ghuma),72.442003,23.023918
Chandlodiya Talav (Ganeshwar Mahadev),72.553555,23.084258
Aradhana Residency (Fateh wadi Kenal),72.511969,22.977795
Andh Kalyan Kendra,72.570987,23.085201
Ghodasar Gam,72.612538,22.98459
Devdi Gam,72.649681,22.907225
Adinathnagar,72.661821,23.015041
Kamod Gam,72.543123,22.928855
Shardaben Hospital,72.611318,23.031652
Rasraj Jackpot (Ring Road),72.683878,23.05197
Sarkhej Roza,72.50784,22.993001
Dabhoda Gam,72.747471,23.174573
Memco,72.63125,23.052925
Lilapur Gam,72.514136,23.147436
Miroli Gam,72.521301,22.8722
Riddhi Siddhi Bunglows (Ashapura Motors),72.39447,22.986113
Vamaj Gam,72.4101,23.219208
C.T.M. Cross Road,72.6325,22.992043
Mumatpura Gam,72.490007,23.015209
Swami Vivekanand Chowk(Vastral),72.679229,23.012598
Nana Chiloda(Mnu.Octroi),72.669785,23.103688
Jawahar Chowk (Sabarmati),72.585121,23.092605
Ahmedabad Institute Of Medical Science,72.50125,23.127348
Subhash Bridge Circle,72.583601,23.067446
Kathwada Gam,72.705992,23.057975
Isanpur-Vatva Cross Road,72.600675,22.975548
Khokhara Circle,72.618346,23.00242
Oganaj Circle (S.P.Ring Road),72.507834,23.120444
Shrinand Residency,72.643584,22.980336
Raipur Darwaja,72.594003,23.01699
Arohi Homes (South Bopal),72.477214,23.016262
