route_id,route_code,customer_route_code,route,start_name,end_name,start_stop_code,end_stop_code,start_time,start_time_min,end_time,end_time_min,days,line_type,variant
3,117/1-SK-D,117/1,Sarangpur - Kalupur,Sarangpur,Kalupur Terminus,1489,1734,13,30,15,59,"1,2,3,4,5,6,7",AMTS,NORMAL
4,18-MN-U,18,Maninagar - Nigam Society,Maninagar,Nigam Society,3215,3240,06,35,08,05,"1,2,3,4,5,6,7",AMTS,NORMAL
5,22/1-U,22/1,Lal Darwaja - Bareja Eye Hospital,Lal Darwaja,Bareja Eye Hospital,1125,3297,06,00,20,35,"1,2,3,4,5,6,7",AMTS,NORMAL
6,31/5-PM-U,31/5,Paldi - Madhavnagar (Sanand),Paldi,Madhavnagar (Sanand),1346,1590,05,15,06,15,"1,2,3,4,5,6,7",AMTS,NORMAL
7,31/5-U,31/5,Lal Darwaja - Madhavnagar (Sanand),Lal Darwaja,Madhavnagar (Sanand),4104,1590,06,30,20,45,"1,2,3,4,5,6,7",AMTS,NORMAL
10,3sh-BK-U,3sh,Bhadrakali Mandir - Kalupur Terminus,Bhadrakali Mandir,Kalupur Terminus,3400,3050,20,07,20,07,"1,2,3,4,5,6,7",AMTS,NORMAL
11,40-PV-D,40,Paldi - Vaishali Township,Paldi,Vaishali Township,1346,2081,06,40,06,40,"1,2,3,4,5,6,7",AMTS,NORMAL
12,40-U,40,Vaishali Township - Lapakaman Gam,Vaishali Township,Lapakaman Gam,2039,2723,07,00,18,15,"1,2,3,4,5,6,7",AMTS,NORMAL
13,40-VL-U,40,Vasna - Lapakaman Gam,Vasna,Lapakaman Gam,1286,2723,14,30,14,30,"1,2,3,4,5,6,7",AMTS,NORMAL
15,150sh-SaC-U,150sh,Sarkhej Gam - Chinubhainagar,Sarkhej Gam,Chinubhainagar,1149,1819,17,30,17,30,"1,2,3,4,5,6,7",AMTS,NORMAL
17,37sh-U,37sh,Vasna - Bapunagar,Vasna,Bapunagar,1286,4164,07,25,17,50,"1,2,3,4,5,6,7",AMTS,NORMAL
18,160-U,160,Hatkeshwar Depo - Silver Oak University,Hatkeshwar Depo,Silver Oak University,2312,9229,06,00,20,30,"1,2,3,4,5,6,7",AMTS,NORMAL
19,200-MV-D,200,Maninagar - Vadaj,Maninagar,Vadaj,1310,1820,18,15,20,25,"1,2,3,4,5,6,7",AMTS,NORMAL
20,32-D,32,Sahyadri Bunglows - But Bhavani Mandir,Sahyadri Bunglows,But Bhavani Mandir,1320,1365,07,50,19,55,"1,2,3,4,5,6,7",AMTS,NORMAL
21,58-GKS-U,58,Gujarat University - Kush Society (New Naroda),Gujarat University,Kush Society (New Naroda),1222,3868,09,00,20,30,"1,2,3,4,5,6,7",AMTS,NORMAL
23,52/2-MG-U,52/2,Maninagar - Gujarat University,Maninagar,Gujarat University,1329,1051,06,05,21,35,"1,2,3,4,5,6,7",AMTS,NORMAL
25,58-U,58,Thaltej Gam - Kush Society (New Naroda),Thaltej Gam,Kush Society (New Naroda),3016,3868,07,10,20,50,"1,2,3,4,5,6,7",AMTS,NORMAL
26,66/3sh-U,66/3sh,Sarangpur - Moti Bhoyan Chokdi,Sarangpur,Moti Bhoyan Chokdi,2270,2757,06,20,17,50,"1,2,3,4,5,6,7",AMTS,NORMAL
27,13/1-RV-D,13/1,Ranip Gam - Vadaj,Ranip Gam,Vadaj,3229,2107,19,50,23,30,"1,2,3,4,5,6,7",AMTS,NORMAL
29,18-U,18,Nigam Society - Ujala Circle,Nigam Society,Ujala Circle(Sarkhej RailwayOverbridge),3063,1599,06,50,18,45,"1,2,3,4,5,6,7",AMTS,NORMAL
30,18S-D,18S,Vatva Railway Station - Maninagar,Vatva Railway Station,Maninagar,8729,1329,06,50,21,25,"1,2,3,4,5,6,7",AMTS,NORMAL
35,3-U,3,Bhadrakali Mandir - Bhadrakali Mandir,Bhadrakali Mandir,Bhadrakali Mandir,3400,3400,06,30,20,15,"1,2,3,4,5,6,7",AMTS,NORMAL
36,3sh-KB-U,3sh,Kalupur terminus - Bhadrakali Mandir,Kalupur Terminus,Bhadrakali Mandir,3050,3400,06,35,06,35,"1,2,3,4,5,6,7",AMTS,NORMAL
37,3sh-U,3sh,Bhadrakali Mandir - Bhadrakali Mandir,Bhadrakali Mandir,Bhadrakali Mandir,3400,3400,06,45,19,35,"1,2,3,4,5,6,7",AMTS,NORMAL
38,13/1-D,13/1,Ranip Gam - Prakash Vidhyalay (Isanpur),Ranip Gam,Prakash Vidhyalay (Isanpur),3229,9236,06,20,21,55,"1,2,3,4,5,6,7",AMTS,NORMAL
43,13/1-U,13/1,Prakash Vidhyalay (Isanpur) - Ranip Gam,Prakash Vidhyalay (Isanpur),Ranip Gam,9235,3230,06,20,22,30,"1,2,3,4,5,6,7",AMTS,NORMAL
45,14-D,14,Nandej-Barejadi Gam - Lal Darwaja,Nandej-Barejadi Gam,Lal Darwaja,3123,1077,08,16,19,10,"1,2,3,4,5,6,7",AMTS,NORMAL
46,14-DL-D,14,Devdi Gam - Lal Darwaja,Devdi Gam,Lal Darwaja,4827,1077,07,00,07,00,"1,2,3,4,5,6,7",AMTS,NORMAL
48,14-VL-D,14,Vatva Gam - Lal Darwaja,Vatva Gam,Lal Darwaja,5636,1077,15,20,16,15,"1,2,3,4,5,6,7",AMTS,NORMAL
49,14-LD-U,14,Lal Darwaja - Devdi Gam,Lal Darwaja,Devdi Gam,1077,4069,05,50,05,50,"1,2,3,4,5,6,7",AMTS,NORMAL
51,14-LV-U,14,Lal Darwaja - Vatva Gam,Lal Darwaja,Vatva Gam,1077,4804,12,41,13,45,"1,2,3,4,5,6,7",AMTS,NORMAL
52,14-U,14,Lal Darwaja - Nandej-Barejadi Gam,Lal Darwaja,Nandej-Barejadi Gam,1077,3122,06,50,17,40,"1,2,3,4,5,6,7",AMTS,NORMAL
53,14/1-D,14/1,Vatva Railway Crossing - Lal Darwaja,Vatva Railway Crossing,Lal Darwaja,5299,1077,07,20,18,45,"1,2,3,4,5,6,7",AMTS,NORMAL
54,14/1-U,14/1,Lal Darwaja - Vatva Railway Crossing,Lal Darwaja,Vatva Railway Crossing,1077,4516,06,25,17,30,"1,2,3,4,5,6,7",AMTS,NORMAL
55,14sh-D,14sh,Mahalakshmi Talav (Vatva) - Lal Darwaja,Mahalakshmi Talav (Vatva),Lal Darwaja,4077,1077,06,15,23,00,"1,2,3,4,5,6,7",AMTS,NORMAL
57,16-NC-U,16,Vatva Railway Colony - Sarangpur,Vatva Railway Colony,Sarangpur,5063,1204,18,45,20,25,"1,2,3,4,5,6,7",AMTS,NORMAL
62,14sh-U,14sh,Lal Darwaja - Mahalakshmi Talav (Vatva),Lal Darwaja,Mahalakshmi Talav (Vatva),1077,4528,05,30,22,05,"1,2,3,4,5,6,7",AMTS,NORMAL
63,15-D,15,Chosar Gam - Maninagar,Chosar Gam,Maninagar,5628,3215,06,40,21,00,"1,2,3,4,5,6,7",AMTS,NORMAL
64,15-U,15,Maninagar - Chosar Gam,Maninagar,Chosar Gam,1329,4067,05,55,20,05,"1,2,3,4,5,6,7",AMTS,NORMAL
69,18S-U,18S,Maninagar - Vatva Railway Station,Maninagar,Vatva Railway Station,3215,8728,06,25,20,55,"1,2,3,4,5,6,7",AMTS,NORMAL
71,15/3-D,15/3,Nenpur Chokdi - Maninagar,Nenpur Chokdi,Maninagar,8610,1329,07,40,20,50,"1,2,3,4,5,6,7",AMTS,NORMAL
72,15/3-U,15/3,Maninagar - Nenpur Chokdi,Maninagar,Nenpur Chokdi,1310,8609,06,30,19,30,"1,2,3,4,5,6,7",AMTS,NORMAL
74,16-CS-D,16,Someshwar Mahadev - Sarangpur,Someshwar Mahadev,Sarangpur,8978,1844,18,30,21,30,"1,2,3,4,5,6,7",AMTS,NORMAL
76,16-D,16,Someshwar Mahadev - Vatva Railway Colony,Someshwar Mahadev,Vatva Railway Colony,8978,4785,07,10,17,35,"1,2,3,4,5,6,7",AMTS,NORMAL
77,16-SN-D,16,Sarangpur - Vatva Railway Colony,Sarangpur,Vatva Railway Colony,1844,4785,06,20,07,40,"1,2,3,4,5,6,7",AMTS,NORMAL
81,16-SC-U,16,Sarangpur - Someshwar Mahadev,Sarangpur,Someshwar Mahadev,1204,8978,06,15,09,00,"1,2,3,4,5,6,7",AMTS,NORMAL
82,16-U,16,Vatva Railway Colony - Someshwar Mahadev,Vatva Railway Colony,Someshwar Mahadev,5063,8978,07,30,19,30,"1,2,3,4,5,6,7",AMTS,NORMAL
84,17-D,17,Meghaninagar - Karnavati Chowk-4 (New Narol),Meghaninagar,Karnavati Chowk-4 (New Narol),4850,1802,08,10,17,55,"1,2,3,4,5,6,7",AMTS,NORMAL
87,17-MMt-D,17,Maninagar - Karnavati Chowk-4 (New Narol),Maninagar,Karnavati Chowk-4 (New Narol),3215,1802,06,20,06,20,"1,2,3,4,5,6,7",AMTS,NORMAL
90,17-MM-U,17,Karnavati Chowk-4 (New Narol) - Maninagar,Karnavati Chowk-4 (New Narol),Maninagar,1800,1329,19,20,19,20,"1,2,3,4,5,6,7",AMTS,NORMAL
