station_name,long,lat
ISKCON Cross Road,72.508539,23.027171
Rabari Colony,72.636855,23.004385
Samarpan Bungalows,72.476288,23.029066
Sthapatya Eligance,72.675277,23.082949
Sarkari Litho Press Cabin,72.586281,23.039412
Ram Rajya Nagar,72.638116,23.007985
Gujarat High Court,72.525964,23.0795
Bhulabhai Park,72.59109,23.006711
Jogeshwari Society,72.635611,23.000439
Delhi Darwaja,72.589757,23.037613
Hanuman Camp,72.600394,23.066394
Vasna,72.547867,23.002248
Ashok Vatika,72.495576,23.027909
Naroda S. T. Workshop,72.642475,23.064553
Basant Bahar,72.46705,23.028735
Bhadaj Circle,72.495317,23.082913
LD Engg. College,72.548809,23.034959
Nehrunagar,72.541715,23.022555
Hanspura Gam,72.680345,23.085446
Sarkhej Circle,72.503007,22.987644
Naranghat,72.587809,23.057562
Sanand Circle,72.495313,22.987987
Vasundhara Society,72.552174,23.027862
Sterling City,72.469126,23.032377
Law Garden,72.559058,23.023972
Gota Vasant Nagar Township,72.524915,23.106449
Hetarth Party Plot,72.509484,23.07565
Amba Township,72.576362,23.189629
Naroda Bazaar,72.656174,23.074838
Bhairavnath Road,72.599028,22.995486
Soni ni Chali B,72.638276,23.020581
Gulbai Tekra Approach,72.547166,23.029531
DCIS Circle,72.584466,23.129198
Gota Cross Road,72.531421,23.098686
Science City Approach,72.522567,23.069693
Hirawadi,72.640999,23.045583
Prabha Hanuman,72.565852,23.181576
M J Library,72.570259,23.023724
Bethak,72.649166,23.071963
Science City,72.499605,23.080483
Hanspura Ring Road,72.685861,23.088254
Gayatri Mandir,72.595317,23.061989
Mira Cinema Char Rasta,72.593199,22.999124
Bhimnath Mahadev,72.458218,23.026779
Kalupur Ghee Bazar,72.599906,23.03139
Karnavati Club,72.504976,23.019843
Chhipa Society,72.581578,22.991571
CTM Cross Road,72.631727,22.991333
Bhagwat Bungalows,72.461657,23.017334
Prahalad Nagar Cross Road,72.50252,23.012499
Naroda Gam,72.655812,23.077071
Sukhasan Char Rasta,72.46895,23.016283
Rambaug,72.600643,22.99988
Mangal Park,72.589863,23.003567
Rameshwar Park,72.63841,23.013671
Airport Circle,72.616404,23.08132
Odhav Talav,72.665309,23.024458
Bopal Approach,72.477817,23.025813
Chittavan ,72.470455,23.024278
Chandkheda Gam,72.582605,23.116507
Maninagar Char Rasta,72.606448,22.9972
Dhanush Dhari Mandir,72.642898,23.059802
Jawahar Chowk,72.605,22.995157
Ambli Gam,72.482132,23.026409
Makarba Road,72.4986,23.00005
Purvdeep Society,72.634153,22.996181
Civil Hospital,72.60118,23.049941
Ahmedabad Domestic Airport,72.621076,23.071765
Vijay Park,72.64185,23.05132
Ambar Tower,72.512412,22.988919
Juhapura Road,72.53009,22.994573
Jaimangal,72.549326,23.057561
G.E.B (Naroda),72.672253,23.080555
Prem Darwaja,72.594861,23.037267
Bopal Gam,72.464102,23.033993
ISRO,72.517628,23.027659
South Bopal BRTS Terminus,72.465699,23.016207
Swaminarayan Mandir,72.611634,22.994862
SOBO Center,72.474928,23.017849
Jantanagar,72.585187,23.108237
Little Wings,72.459563,23.032042
Pragatinagar,72.556055,23.064658
Swagat City,72.587971,23.160158
Kankariya Lake Shukla Dada Chowk,72.598896,23.00323
Ramdevnagar,72.512763,23.027471
L Colony,72.542881,23.023516
Kalupur,72.600349,23.026879
Narayana Hospital,72.623291,23.021505
Kashiram Textiles,72.586806,22.976786
Khurshid Park,72.518202,22.991276
Trimandir,72.57308,23.177094
G.C.S. Hospital,72.609088,23.039335
Ranip Cross Road,72.575648,23.067603
Morlidhar Society,72.662407,23.024067
Jhansi Ki Rani,72.536272,23.023012
Vishvakarma Engineering College,72.596592,23.104971
Shukan Mall,72.515282,23.072833
Geeta Mandir,72.59141,23.012996
Krishna nagar,72.642422,23.054942
Sola Bridge,72.529577,23.064879
Star Bazaar,72.524173,23.026189
Himmatlal Park,72.532415,23.029749
Rakhiyal Char Rasta,72.61915,23.022236
Saijpur Towers,72.63985,23.061417
BRTS Workshop,72.58572,22.982124
Sarthi Bungalows,72.582715,23.122981
Swaminarayan College,72.587096,23.001416
Shiv Shaktinagar,72.583895,23.112173
ONGC Avani Bhavan,72.586668,23.103505
Panjrapole Char Rasta,72.544132,23.026346
Adalaj S.T. Stand,72.57514,23.175303
Swaminarayan Park,72.674884,23.073116
Pravinnagar,72.542251,22.998131
Vaikunth Dham Mandir,72.582908,22.999847
Sabarmati Municipal Swimming pool,72.593304,23.081531
Express Highway Junction,72.627615,22.987238
Maktampura Ward Office,72.535035,22.995936
Adalaj Circle,72.586919,23.166944
Danilimda Road,72.57909,22.996104
Aarohi Club Road,72.459927,23.02126
Jodhpur Char Rasta,72.527423,23.025194
Kalpataru Park,72.586358,23.136461
Vallabh Nagar,72.654811,23.022921
Motera Cross Road,72.590147,23.091929
Shastrinagar,72.552973,23.062166
Narol,72.589558,22.973039
Haridarshan Char Rasta,72.672813,23.070224
Jeening Press,72.616016,23.04439
Shivranjani,72.531305,23.02433
Ghuma Gam,72.448392,23.030963
University,72.538544,23.039761
Akhbarnagar,72.563817,23.067571
Soma Textiles,72.628939,23.020105
Maninagar,72.61142,22.997729
Jashodanagar Char Rasta,72.623936,22.983865
Danilimda Char Rasta,72.577389,22.996454
Sattadhar Char Rasta,72.532825,23.062888
Sola Bhagwat,72.528377,23.086087
Patel Mills,72.612931,23.021956
Sarangpur Darwaja,72.599037,23.021686
Andhjan Mandal,72.536006,23.034618
Khodiyarnagar,72.570477,22.995685
