station_name,day,time,traffic_congestion
Ambar Tower,6,4,12
Ambar Tower,6,5,11
Ambar Tower,6,6,12
Ambar Tower,6,7,14
Ambar Tower,6,8,18
Ambar Tower,6,9,24
Ambar Tower,6,10,31
Ambar Tower,6,11,38
Ambar Tower,6,12,43
Ambar Tower,6,13,47
Ambar Tower,6,14,49
Ambar Tower,6,15,49
Ambar Tower,6,16,50
Ambar Tower,6,17,54
Ambar Tower,6,18,60
Ambar Tower,6,19,69
Ambar Tower,6,20,79
Ambar Tower,6,21,89
Ambar Tower,6,22,94
Ambar Tower,6,23,85
Ambar Tower,7,0,57
Ambar Tower,7,1,33
Ambar Tower,7,2,19
Ambar Tower,7,3,14
Ambar Tower,7,4,10
Ambar Tower,7,5,10
Ambar Tower,7,6,11
Ambar Tower,7,7,15
Ambar Tower,7,8,20
Ambar Tower,7,9,27
Ambar Tower,7,10,33
Ambar Tower,7,11,38
Ambar Tower,7,12,40
Ambar Tower,7,13,40
Ambar Tower,7,14,41
Ambar Tower,7,15,42
Ambar Tower,7,16,42
Ambar Tower,7,17,46
Ambar Tower,7,18,54
Ambar Tower,7,19,62
Ambar Tower,7,20,69
Ambar Tower,7,21,74
Ambar Tower,7,22,75
Ambar Tower,7,23,67
Ambar Tower,1,0,45
Ambar Tower,1,1,26
Ambar Tower,1,2,15
Ambar Tower,1,3,11
Ambar Tower,1,4,10
Ambar Tower,1,5,10
Ambar Tower,1,6,12
Ambar Tower,1,7,16
Ambar Tower,1,8,23
Ambar Tower,1,9,30
Ambar Tower,1,10,36
Ambar Tower,1,11,38
Ambar Tower,1,12,40
Ambar Tower,1,13,41
Ambar Tower,1,14,41
Ambar Tower,1,15,41
Ambar Tower,1,16,42
Ambar Tower,1,17,47
Ambar Tower,1,18,55
Ambar Tower,1,19,61
Ambar Tower,1,20,66
Ambar Tower,1,21,69
Ambar Tower,1,22,70
Ambar Tower,1,23,64
Ambar Tower,2,0,44
Ambar Tower,2,1,26
Ambar Tower,2,2,15
Ambar Tower,2,3,11
Ambar Tower,2,4,10
Ambar Tower,2,5,11
Ambar Tower,2,6,13
Ambar Tower,2,7,18
Ambar Tower,2,8,23
Ambar Tower,2,9,29
Ambar Tower,2,10,33
Ambar Tower,2,11,37
Ambar Tower,2,12,39
Ambar Tower,2,13,39
Ambar Tower,2,14,37
Ambar Tower,2,15,38
Ambar Tower,2,16,41
Ambar Tower,2,17,47
Ambar Tower,2,18,56
Ambar Tower,2,19,64
Ambar Tower,2,20,71
Ambar Tower,2,21,75
Ambar Tower,2,22,74
Ambar Tower,2,23,65
Ambar Tower,3,0,43
Ambar Tower,3,1,25
Ambar Tower,3,2,14
Ambar Tower,3,3,11
Ambar Tower,3,4,10
Ambar Tower,3,5,11
Ambar Tower,3,6,13
Ambar Tower,3,7,17
Ambar Tower,3,8,23
Ambar Tower,3,9,30
Ambar Tower,3,10,36
Ambar Tower,3,11,38
Ambar Tower,3,12,40
Ambar Tower,3,13,40
Ambar Tower,3,14,41
Ambar Tower,3,15,42
Ambar Tower,3,16,44
Ambar Tower,3,17,49
Ambar Tower,3,18,58
Ambar Tower,3,19,69
Ambar Tower,3,20,75
Ambar Tower,3,21,77
Ambar Tower,3,22,75
Ambar Tower,3,23,66
Ambar Tower,4,0,44
Ambar Tower,4,1,26
Ambar Tower,4,2,14
Ambar Tower,4,3,11
Ambar Tower,4,4,10
Ambar Tower,4,5,10
Ambar Tower,4,6,12
Ambar Tower,4,7,16
Ambar Tower,4,8,21
Ambar Tower,4,9,27
Ambar Tower,4,10,32
Ambar Tower,4,11,36
Ambar Tower,4,12,39
Ambar Tower,4,13,45
Ambar Tower,4,14,49
Ambar Tower,4,15,54
Ambar Tower,4,16,51
Ambar Tower,4,17,53
Ambar Tower,4,18,57
Ambar Tower,4,19,64
Ambar Tower,4,20,71
Ambar Tower,4,21,75
Ambar Tower,4,22,76
Ambar Tower,4,23,68
Ambar Tower,5,0,46
Ambar Tower,5,1,27
Ambar Tower,5,2,15
Ambar Tower,5,3,11
Ambar Tower,5,4,13
Ambar Tower,5,5,12
Ambar Tower,5,6,13
Ambar Tower,5,7,18
Ambar Tower,5,8,24
Ambar Tower,5,9,31
Ambar Tower,5,10,37
Ambar Tower,5,11,41
Ambar Tower,5,12,46
Ambar Tower,5,13,47
Ambar Tower,5,14,49
Ambar Tower,5,15,51
Ambar Tower,5,16,50
Ambar Tower,5,17,54
Ambar Tower,5,18,61
Ambar Tower,5,19,69
Ambar Tower,5,20,79
Ambar Tower,5,21,90
Ambar Tower,5,22,75
Ambar Tower,5,23,93
Ambar Tower,6,0,64
Ambar Tower,6,1,39
Ambar Tower,6,2,23
Ambar Tower,6,3,16
Bhadaj Circle,6,6,0
Bhadaj Circle,6,7,18
Bhadaj Circle,6,8,35
Bhadaj Circle,6,9,50
Bhadaj Circle,6,10,61
Bhadaj Circle,6,11,66
Bhadaj Circle,6,12,66
Bhadaj Circle,6,13,66
Bhadaj Circle,6,14,69
