station_name,day,time,traffic_congestion
Raipur Darwaja,7,4,13
Raipur Darwaja,7,5,14
Raipur Darwaja,7,6,17
Raipur Darwaja,7,7,17
Raipur Darwaja,7,8,19
Raipur Darwaja,7,9,21
Raipur Darwaja,7,10,25
Raipur Darwaja,7,11,28
Raipur Darwaja,7,12,32
Raipur Darwaja,7,13,35
Raipur Darwaja,7,14,38
Raipur Darwaja,7,15,40
Raipur Darwaja,7,16,40
Raipur Darwaja,7,17,40
Raipur Darwaja,7,18,43
Raipur Darwaja,7,19,52
Raipur Darwaja,7,20,61
Raipur Darwaja,7,21,71
Raipur Darwaja,7,22,75
Raipur Darwaja,7,23,64
Raipur Darwaja,1,0,41
Raipur Darwaja,1,1,25
Raipur Darwaja,1,2,16
Raipur Darwaja,1,3,14
Raipur Darwaja,1,4,14
Raipur Darwaja,1,5,16
Raipur Darwaja,1,6,18
Raipur Darwaja,1,7,21
Raipur Darwaja,1,8,25
Raipur Darwaja,1,9,30
Raipur Darwaja,1,10,34
Raipur Darwaja,1,11,37
Raipur Darwaja,1,12,41
Raipur Darwaja,1,13,43
Raipur Darwaja,1,14,46
Raipur Darwaja,1,15,48
Raipur Darwaja,1,16,48
Raipur Darwaja,1,17,47
Raipur Darwaja,1,18,49
Raipur Darwaja,1,19,54
Raipur Darwaja,1,20,60
Raipur Darwaja,1,21,65
Raipur Darwaja,1,22,64
Raipur Darwaja,1,23,58
Raipur Darwaja,2,0,35
Raipur Darwaja,2,1,24
Raipur Darwaja,2,2,16
Raipur Darwaja,2,3,15
Raipur Darwaja,2,4,12
Raipur Darwaja,2,5,14
Raipur Darwaja,2,6,16
Raipur Darwaja,2,7,21
Raipur Darwaja,2,8,24
Raipur Darwaja,2,9,29
Raipur Darwaja,2,10,33
Raipur Darwaja,2,11,38
Raipur Darwaja,2,12,41
Raipur Darwaja,2,13,45
Raipur Darwaja,2,14,49
Raipur Darwaja,2,15,57
Raipur Darwaja,2,16,56
Raipur Darwaja,2,17,54
Raipur Darwaja,2,18,50
Raipur Darwaja,2,19,53
Raipur Darwaja,2,20,56
Raipur Darwaja,2,21,62
Raipur Darwaja,2,22,60
Raipur Darwaja,2,23,53
Raipur Darwaja,3,0,33
Raipur Darwaja,3,1,20
Raipur Darwaja,3,2,13
Raipur Darwaja,3,3,13
Raipur Darwaja,3,4,12
Raipur Darwaja,3,5,12
Raipur Darwaja,3,6,15
Raipur Darwaja,3,7,19
Raipur Darwaja,3,8,25
Raipur Darwaja,3,9,32
Raipur Darwaja,3,10,38
Raipur Darwaja,3,11,44
Raipur Darwaja,3,12,47
Raipur Darwaja,3,13,46
Raipur Darwaja,3,14,44
Raipur Darwaja,3,15,43
Raipur Darwaja,3,16,44
Raipur Darwaja,3,17,46
Raipur Darwaja,3,18,52
Raipur Darwaja,3,19,54
Raipur Darwaja,3,20,57
Raipur Darwaja,3,21,62
Raipur Darwaja,3,22,65
Raipur Darwaja,3,23,57
Raipur Darwaja,4,0,37
Raipur Darwaja,4,1,25
Raipur Darwaja,4,2,18
Raipur Darwaja,4,3,15
Raipur Darwaja,4,4,15
Raipur Darwaja,4,5,16
Raipur Darwaja,4,6,17
Raipur Darwaja,4,7,19
Raipur Darwaja,4,8,23
Raipur Darwaja,4,9,28
Raipur Darwaja,4,10,32
Raipur Darwaja,4,11,37
Raipur Darwaja,4,12,42
Raipur Darwaja,4,13,45
Raipur Darwaja,4,14,51
Raipur Darwaja,4,15,60
Raipur Darwaja,4,16,58
Raipur Darwaja,4,17,57
Raipur Darwaja,4,18,60
Raipur Darwaja,4,19,71
Raipur Darwaja,4,20,74
Raipur Darwaja,4,21,76
Raipur Darwaja,4,22,70
Raipur Darwaja,4,23,59
Raipur Darwaja,5,0,37
Raipur Darwaja,5,1,23
Raipur Darwaja,5,2,15
Raipur Darwaja,5,3,14
Raipur Darwaja,5,4,14
Raipur Darwaja,5,5,16
Raipur Darwaja,5,6,19
Raipur Darwaja,5,7,22
Raipur Darwaja,5,8,25
Raipur Darwaja,5,9,29
Raipur Darwaja,5,10,31
Raipur Darwaja,5,11,36
Raipur Darwaja,5,12,40
