route_id,route_code,customer_route_code,route,start_name,end_name,start_stop_code,end_stop_code,start_time,start_time_min,end_time,end_time_min,days,line_type,variant
1,1D,1D,Maninagar - Ghuma Gam,Maninagar,Ghuma Gam,57,270,06,10,22,45,"1,2,3,4,5,6,7",BRTS,NORMAL
4,2E-BJ,2E,Bhadaj Circle - Jaimangal,Bhadaj Circle,Jaimangal,332,14,11,56,22,26,"1,2,3,4,5,6,7",BRTS,NORMAL
8,1S-CG,1S,Chhipa Society - Ghuma Gam,Chhipa Society,Ghuma Gam,70,270,06,10,08,24,"1,2,3,4,5,6,7",BRTS,NORMAL
9,1S-CM,1S,Chhipa Society - Maninagar,Chhipa Society,Maninagar,70,317,06,07,09,17,"1,2,3,4,5,6,7",BRTS,NORMAL
10,1S-JG,1S,Jaimangal - Ghuma Gam,Jaimangal,Ghuma Gam,13,270,06,00,17,32,"1,2,3,4,5,6,7",BRTS,NORMAL
11,1E-GJ,1E,Ghuma Gam - Jaimangal,Ghuma Gam,Jaimangal,269,14,10,48,22,38,"1,2,3,4,5,6,7",BRTS,NORMAL
13,1E-MK,1E,Maninagar - Kashiram Textiles,Maninagar,Kashiram Textiles,57,75,19,15,22,35,"1,2,3,4,5,6,7",BRTS,NORMAL
14,1U,1U,Ghuma Gam - Maninagar,Ghuma Gam,Maninagar,269,317,06,10,22,45,"1,2,3,4,5,6,7",BRTS,NORMAL
22,2D-OB,2D,Odhav Ring Road - Bhadaj Circle,SP Ring Road Approach,Bhadaj Circle,157,331,06,00,22,45,"1,2,3,4,5,6,7",BRTS,NORMAL
26,2S-JB,2S,Jaimangal - Bhadaj Circle,Jaimangal,Bhadaj Circle,13,331,06,00,17,07,"1,2,3,4,5,6,7",BRTS,NORMAL
30,2U-BO,2U,Bhadaj Circle - Odhav Ring Road,Bhadaj Circle,SP Ring Road Approach,332,158,06,00,22,45,"1,2,3,4,5,6,7",BRTS,NORMAL
35,3D,3D,Maninagar - R.T.O Circle,Maninagar,R.T.O Circle,57,1,06,05,20,45,"1,2,3,4,5,6,7",BRTS,NORMAL
38,5U-NH,5U,Narol - Hanspura Ring Road,Narol,Hanspura Ring Road,77,366,06,29,09,13,"1,2,3,4,5,6,7",BRTS,NORMAL
40,3D-MC,3D,Maninagar - Chandkheda Gam,Maninagar,Chandkheda Gam,57,226,19,00,22,40,"1,2,3,4,5,6,7",BRTS,NORMAL
44,3S-CM,3S,Chhipa Society - Maninagar,Chhipa Society,Maninagar,70,317,06,03,08,45,"1,2,3,4,5,6,7",BRTS,NORMAL
45,3E-MK,3E,Maninagar - Kashiram Textiles,Maninagar,Kashiram Textiles,57,75,20,26,22,45,"1,2,3,4,5,6,7",BRTS,NORMAL
46,5S-CV,5S,Chhipa Society - Vasna,Chhipa Society,Vasna,70,276,06,13,08,28,"1,2,3,4,5,6,7",BRTS,NORMAL
48,3U,3U,R.T.O Circle - Maninagar,R.T.O Circle,Maninagar,318,317,06,07,22,41,"1,2,3,4,5,6,7",BRTS,NORMAL
50,3U-CM,3U,Chandkheda Gam - Maninagar,Chandkheda Gam,Maninagar,225,317,06,02,08,11,"1,2,3,4,5,6,7",BRTS,NORMAL
55,4D-LA,4D,LD Engg College - Amba Township,LD Engg. College,Amba Township,236,408,06,05,22,45,"1,2,3,4,5,6,7",BRTS,NORMAL
58,4D-LZ,4D,LD Engg. College - Zundal Circle,LD Engg. College,DCIS Circle,236,254,06,20,22,55,"1,2,3,4,5,6,7",BRTS,NORMAL
