schedule_for_route_id,schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,shift,start_time,start_time_min,end_time,end_time_min,run_code,trip_seq_number,duty_code,first_stop_name,last_stop_name,bus_no
1365,9/SM12,5699735,9E-MJ,Maninagar - Jaimangal,Jaimangal,NORMAL,57,14,,13,41,14,51,9/SM12,,,Maninagar,Maninagar,1
1367,9/SM15,5699808,9E-MJ,Maninagar - Jaimangal,Jaimangal,NORMAL,57,14,,14,45,15,55,9/SM15,,,Maninagar,Maninagar,2
592,13/SG01,5830907,13S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,13,270,,06,05,06,40,13/SG01,,,Jaimangal,Jaimangal,1
594,13/SG02,5830910,13S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,13,270,,09,40,10,25,13/SG02,,,Jaimangal,Jaimangal,2
1227,3/M01,5824850,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,06,05,06,55,3/M01,,,Maninagar,Maninagar,1
1229,3/M02,5824854,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,06,20,07,11,3/M02,,,Maninagar,Maninagar,2
1230,3/M03,5824855,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,06,35,07,27,3/M03,,,Maninagar,Maninagar,3
1231,3/M04,5824856,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,06,50,07,44,3/M04,,,Maninagar,Maninagar,4
1228,3/R01,5824853,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,07,05,08,00,3/R01,,,Maninagar,Maninagar,5
1224,3/R02,5824845,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,07,17,08,13,3/R02,,,Maninagar,Maninagar,6
1233,3/R03,5824858,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,07,29,08,26,3/R03,,,Maninagar,Maninagar,7
1225,3/R04,5824847,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,07,41,08,39,3/R04,,,Maninagar,Maninagar,8
1226,3/R05,5824849,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,07,53,08,52,3/R05,,,Maninagar,Maninagar,9
1276,3/M05,5824603,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,05,09,06,3/M05,,,Maninagar,Maninagar,10
1306,3/M01,5824767,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,15,09,18,3/M01,,,Maninagar,Maninagar,11
1232,3/M06,5824857,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,24,09,30,3/M06,,,Maninagar,Maninagar,12
1287,3/M02,5824726,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,32,09,40,3/M02,,,Maninagar,Maninagar,13
1288,3/M03,5824737,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,40,09,50,3/M03,,,Maninagar,Maninagar,14
1273,3/M07,5824461,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,48,10,00,3/M07,,,Maninagar,Maninagar,15
1289,3/R06,5824738,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,08,56,10,10,3/R06,,,Maninagar,Maninagar,16
1354,3/M08,5824474,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,04,10,19,3/M08,,,Maninagar,Maninagar,17
1290,3/M04,5824739,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,12,10,27,3/M04,,,Maninagar,Maninagar,18
1291,3/R07,5824740,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,20,10,36,3/R07,,,Maninagar,Maninagar,19
1293,3/R01,5824742,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,28,10,45,3/R01,,,Maninagar,Maninagar,20
1292,3/R08,5824741,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,38,10,56,3/R08,,,Maninagar,Maninagar,21
1294,3/R02,5824744,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,48,11,06,3/R02,,,Maninagar,Maninagar,22
1295,3/R03,5824749,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,09,58,11,17,3/R03,,,Maninagar,Maninagar,23
1296,3/R04,5824750,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,10,08,11,26,3/R04,,,Maninagar,Maninagar,24
1297,3/R05,5824751,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,10,18,11,34,3/R05,,,Maninagar,Maninagar,25
1274,3/M05,5824564,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,10,28,11,43,3/M05,,,Maninagar,Maninagar,26
1298,3/M01,5824752,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,10,38,11,51,3/M01,,,Maninagar,Maninagar,27
1299,3/M06,5824760,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,10,48,11,59,3/M06,,,Maninagar,Maninagar,28
1300,3/M02,5824761,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,10,58,12,08,3/M02,,,Maninagar,Maninagar,29
1301,3/M03,5824762,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,11,08,12,16,3/M03,,,Maninagar,Maninagar,30
1275,3/M07,5824596,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,11,18,12,24,3/M07,,,Maninagar,Maninagar,31
1302,3/R06,5824763,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,11,28,12,33,3/R06,,,Maninagar,Maninagar,32
1272,3/M08,5824447,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,11,38,12,41,3/M08,,,Maninagar,Maninagar,33
1303,3/M04,5824764,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,11,48,12,49,3/M04,,,Maninagar,Maninagar,34
1304,3/R07,5824765,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,11,58,12,58,3/R07,,,Maninagar,Maninagar,35
1307,3/R01,5824768,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,12,10,13,10,3/R01,,,Maninagar,Maninagar,36
1305,3/R08,5824766,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,12,22,13,22,3/R08,,,Maninagar,Maninagar,37
1308,3/R02,5824769,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,12,37,13,37,3/R02,,,Maninagar,Maninagar,38
1309,3/R03,5824770,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,12,52,13,52,3/R03,,,Maninagar,Maninagar,39
1355,3/M05,5824498,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,13,07,14,07,3/M05,,,Maninagar,Maninagar,40
1310,3/R04,5824771,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,13,22,14,22,3/R04,,,Maninagar,Maninagar,41
1311,3/R05,5824772,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,13,37,14,37,3/R05,,,Maninagar,Maninagar,42
1313,3/M06,5824778,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,13,52,14,52,3/M06,,,Maninagar,Maninagar,43
1356,3/M07,5824517,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,14,07,15,07,3/M07,,,Maninagar,Maninagar,44
1314,3/R06,5824779,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,14,22,15,22,3/R06,,,Maninagar,Maninagar,45
1280,3/M08,5824710,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,14,37,15,37,3/M08,,,Maninagar,Maninagar,46
1312,3/M01,5824773,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,14,52,15,52,3/M01,,,Maninagar,Maninagar,47
1320,3/R01,5824790,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,15,07,16,07,3/R01,,,Maninagar,Maninagar,48
1321,3/R02,5824791,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,15,22,16,22,3/R02,,,Maninagar,Maninagar,49
1315,3/M02,5824780,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,15,37,16,37,3/M02,,,Maninagar,Maninagar,50
1318,3/R07,5824788,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,15,52,16,52,3/R07,,,Maninagar,Maninagar,51
1316,3/M03,5824781,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,16,07,17,08,3/M03,,,Maninagar,Maninagar,52
1319,3/R08,5824789,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,16,22,17,25,3/R08,,,Maninagar,Maninagar,53
1317,3/M04,5824782,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,16,37,17,43,3/M04,,,Maninagar,Maninagar,54
1357,3/M05,5824559,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,16,52,18,00,3/M05,,,Maninagar,Maninagar,55
1207,3/M06,5824803,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,17,07,18,17,3/M06,,,Maninagar,Maninagar,56
1278,3/M07,5824646,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,17,20,18,31,3/M07,,,Maninagar,Maninagar,57
1204,3/R03,5824800,3D,Maninagar - R.T.O Circle,R.T.O Circle,NORMAL,57,1,,17,32,18,44,3/R03,,,Maninagar,Maninagar,58
